EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition_
1,51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1,Y,11,8,0,1,6,1,0,0,3,4,2,3,3,0
2,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Female,1,Research Scientist,Single,41890,0,Y,23,8,1,6,3,5,1,4,3,2,4,2,4,1
3,32,No,Travel_Frequently,Research & Development,17,4,Other,1,Male,4,Sales Executive,Married,193280,1,Y,15,8,3,5,2,5,0,3,2,2,1,3,3,0
4,38,No,Non-Travel,Research & Development,2,5,Life Sciences,1,Male,3,Human Resources,Married,83210,3,Y,11,8,3,13,5,8,7,5,4,4,3,2,3,0
5,32,No,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Sales Executive,Single,23420,4,Y,12,8,2,9,2,6,0,4,4,1,3,3,3,0
6,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,4,Research Director,Married,40710,3,Y,13,8,0,28,5,7,7,7,3,2,2,3,3,0
7,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,Male,2,Sales Executive,Single,58130,2,Y,20,8,1,5,2,0,0,0,1,3,1,3,4,1
8,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,2,Sales Executive,Married,31430,2,Y,22,8,3,10,2,0,0,0,1,2,3,3,4,0
9,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Laboratory Technician,Married,20440,0,Y,21,8,0,10,2,9,7,8,2,4,3,3,4,0
10,25,No,Non-Travel,Research & Development,7,4,Medical,1,Female,4,Laboratory Technician,Divorced,134640,1,Y,13,8,1,6,2,6,1,5,2,1,3,3,3,0
